image,xml,frame_index,source,has_object
ball_test_20260730_172702_f00000000_t0000000000.jpg,ball_test_20260730_172702_f00000000_t0000000000.xml,0,tracker,1
ball_test_20260730_172702_f00000010_t0000000347.jpg,ball_test_20260730_172702_f00000010_t0000000347.xml,10,tracker,1
ball_test_20260730_172702_f00000020_t0000000694.jpg,ball_test_20260730_172702_f00000020_t0000000694.xml,20,tracker,1
ball_test_20260730_172702_f00000030_t0000001040.jpg,ball_test_20260730_172702_f00000030_t0000001040.xml,30,tracker,1
ball_test_20260730_172702_f00000040_t0000001387.jpg,ball_test_20260730_172702_f00000040_t0000001387.xml,40,tracker,1
ball_test_20260730_172702_f00000050_t0000001734.jpg,ball_test_20260730_172702_f00000050_t0000001734.xml,50,tracker,1
ball_test_20260730_172702_f00000060_t0000002081.jpg,ball_test_20260730_172702_f00000060_t0000002081.xml,60,tracker,1
ball_test_20260730_172702_f00000070_t0000002428.jpg,ball_test_20260730_172702_f00000070_t0000002428.xml,70,tracker,1
ball_test_20260730_172702_f00000080_t0000002775.jpg,ball_test_20260730_172702_f00000080_t0000002775.xml,80,tracker,1
ball_test_20260730_172702_f00000090_t0000003121.jpg,ball_test_20260730_172702_f00000090_t0000003121.xml,90,tracker,1
ball_test_20260730_172702_f00000100_t0000003468.jpg,ball_test_20260730_172702_f00000100_t0000003468.xml,100,tracker,1
ball_test_20260730_172702_f00000110_t0000003815.jpg,ball_test_20260730_172702_f00000110_t0000003815.xml,110,tracker,1
ball_test_20260730_172702_f00000120_t0000004162.jpg,ball_test_20260730_172702_f00000120_t0000004162.xml,120,tracker,1
ball_test_20260730_172702_f00000130_t0000004509.jpg,ball_test_20260730_172702_f00000130_t0000004509.xml,130,tracker,1
ball_test_20260730_172702_f00000140_t0000004856.jpg,ball_test_20260730_172702_f00000140_t0000004856.xml,140,tracker,1
ball_test_20260730_172702_f00000150_t0000005202.jpg,ball_test_20260730_172702_f00000150_t0000005202.xml,150,tracker,1
ball_test_20260730_172702_f00000160_t0000005549.jpg,ball_test_20260730_172702_f00000160_t0000005549.xml,160,tracker,1
ball_test_20260730_172702_f00000170_t0000005896.jpg,ball_test_20260730_172702_f00000170_t0000005896.xml,170,tracker,1
ball_test_20260730_172702_f00000180_t0000006243.jpg,ball_test_20260730_172702_f00000180_t0000006243.xml,180,tracker,1
ball_test_20260730_172702_f00000190_t0000006590.jpg,ball_test_20260730_172702_f00000190_t0000006590.xml,190,tracker,1
