image,width,height,objects,review
ball_test_20260730_185508_f00000000_t0000000000.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000010_t0000000347.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000020_t0000000694.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000030_t0000001040.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000040_t0000001387.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000050_t0000001734.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000060_t0000002081.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000070_t0000002428.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000080_t0000002775.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000090_t0000003121.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000100_t0000003468.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000110_t0000003815.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000120_t0000004162.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000130_t0000004509.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000140_t0000004856.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000150_t0000005202.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000160_t0000005549.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000170_t0000005896.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000180_t0000006243.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000190_t0000006590.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000200_t0000006936.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000210_t0000007283.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000220_t0000007630.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000230_t0000007977.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000240_t0000008324.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000250_t0000008671.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000260_t0000009017.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000270_t0000009364.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000280_t0000009711.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000290_t0000010058.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000300_t0000010405.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000310_t0000010752.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000320_t0000011098.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000330_t0000011445.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000340_t0000011792.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000350_t0000012139.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000360_t0000012486.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000370_t0000012833.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000380_t0000013179.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000390_t0000013526.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000400_t0000013873.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000410_t0000014220.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000420_t0000014567.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000430_t0000014913.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000440_t0000015260.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000450_t0000015607.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000460_t0000015954.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000470_t0000016301.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000480_t0000016648.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000490_t0000016994.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000500_t0000017341.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000510_t0000017688.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000520_t0000018035.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000530_t0000018382.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000540_t0000018729.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000550_t0000019075.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000560_t0000019422.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000570_t0000019769.jpg,640,360,0,verified_no_steel_ball
ball_test_20260730_185508_f00000580_t0000020116.jpg,640,360,0,verified_no_steel_ball
